-*- mode: Org;-*-


|    |    2 |      3 |       4 |        5 |         6 |          7 |          8 |           9 | 10 | 11 |
|----+------+--------+---------+----------+-----------+------------+------------+-------------+----+----|
|  2 |    4 |      9 |      16 |       25 |        36 |         49 |         64 |          81 |    |    |
|  3 |    8 |     27 |      64 |      125 |       216 |        343 |        512 |         729 |    |    |
|  4 |   16 |     81 |     256 |      625 |      1296 |       2401 |       4096 |        6561 |    |    |
|  5 |   32 |    243 |    1024 |     3125 |      7776 |      16807 |      32768 |       59049 |    |    |
|  6 |   64 |    729 |    4096 |    15625 |     46656 |     117649 |     262144 |      531441 |    |    |
|  7 |  128 |   2187 |   16384 |    78125 |    279936 |     823543 |    2097152 |     4782969 |    |    |
|  8 |  256 |   6561 |   65536 |   390625 |   1679616 |    5764801 |   16777216 |    43046721 |    |    |
|  9 |  512 |  19683 |  262144 |  1953125 |  10077696 |   40353607 |  134217728 |   387420489 |    |    |
| 10 | 1024 |  59049 | 1048576 |  9765625 |  60466176 |  282475249 | 1073741824 |  3486784401 |    |    |
| 11 | 2048 | 177147 | 4194304 | 48828125 | 362797056 | 1977326743 | 8589934592 | 31381059609 |    |    |
|    |      |        |         |          |           |            |            |             |    |    |
#+TBLFM: $2=@1^$1::$3=@1^$1::$4=@1^$1::$5=@1^$1::$6=@1^$1::$7=@1^$1::$8=@1^$1::$9=@1^$1



